user,text
U0887F68Q8P,"For AME1, What does “method=lm” mean during the plotting? What are other coding command methods when plotting?"
U088FCMFG9L,I think the “method=lm” code tells the geom_smooth command to apply a linear model to your data set. It is what tells r that you wish to have a linear best-fit line applied to your data under the geom_smooth framework.
U088FCMFG9L,What do the dark and light grey-shaded areas surrounding the best-fit lines and data in the geom_point plot represent? They appeared when I generated my plot in the AME and I’m not sure what they mean (discussion).
U06DFEQBJRF,"Hi all, the solution for ame1 is posted and the password in “sol1”. You can find the solution under our “AMEs” tab in the assignments tab atop the site"
U06DFEQBJRF,"Hi All, AME 2 is released with the passwork “iris”. Good luck!!"
U06DFEQBJRF,"Hi All, AME2 solution is live. pw is “fixediris”"
U06DFEQBJRF,Hi all. Password for the AME3 solution is “coef”
U06DFEQBJRF,"Hi all, the password for AME4 is “teeth”"
U088N1B170S,can we have the solution password?
U06DFEQBJRF,"Hi All, Here are the group assignments for MP1:"
U06DFEQBJRF,"|First     |Last       |email           | group|
|:---------|:----------|:---------------|-----:|
|Sam       |Sanzone    |"
U06DFEQBJRF,"Hi all, seems some "
U088N1B170S,"For AME1, the graph for jump height vs time for the two participants, does anyone have any methods on how to make the ‘geom_smooth’ more visible compared to the raw data points? My initial thought was to reduce the size or transparency of the data points but was wondering if people used other methods. (discussion)"
U088N1DJDS6,You can change the size of geom_smooth by inputting size into the command: geom_smooth(size=10) or something along those lines
U088QGJBE0L,I had trouble visualizing this as well. Sometimes geom_smooth doesn't provide results if you have a categorical variable type (like reps) as one of your aesthetics. Try changing your aesthetic settings to both numerical variables.
U088QGJBE0L,"For AME1, I keep getting an error that says ""attempt to use zero length variable name"" even when coding in a chunk, when assignign a new variable. Is there an easier fix to this rather than putting apostrophes around every variable name? (discussion)"
U088N1B170S,"I had the same issue, I fixed it by making sure that the file I was pulling data from is within the working directory I had set for the .RMD (Files -> More -> ‘Set as working directory’), then it worked only after I reloaded RStudio. I think that second part may be because of a software bug."
U088N1B170S,"If you’re asking how to rename many rows at once, like change ‘O’ to ‘Ollie’, you can use something like “data$Column <- c(rep(n, “Name”), rep(n, “Name”))"
U088N1DJDS6,"(Discussion) After class, I was curious to further research the conservative energy system associated with our running capabilities. I was wondering if it would be worth it, evolutionarily, to elongate the calcaneus tendon to potentially increase the elastic potential energy stored in the tendon.  This would be able to release more push-off from the ground during running, increasing efficiency. It seemed to insinuate a bell curve though in the maximum efficiency of the energy system itself regarding the tendon, i.e. if the tendon is too short it can't act effectively, and if it's too long it can't act effectively either. I was wondering if we are already maximizing our energy transfer dynamics or if we could potentially make it better"
U088N1B170S,"Not an answer, but if you have watched the Nike documentary about breaking a sub-2 hour marathon, they mention that part of the reason Kenyans are so great at distance running is because of genetic factors like this, and how these factors limit what the ‘fastest possible’ marathon time might be for a human. Definitely worth a watch."
U088QGKHJ20,How does the relationship between metabolic power and physical power in human locomotion change during activities such as sprinting or uphill walking compared to normal walking on a flat surface?
U088FCLC7PG,"After today's lecture, I was really curious about how one may apply this kind of thinking of human locomotion to swimming, as the added aspect of water changes the way in which we move. What biomechanical and physiological factors might contribute to changes in energy expenditure and movement efficiency when someone is kicking their legs in the water? How does this vary across different strokes? (e.g freestyle, butterfly, breaststroke, etc)"
U0887F6V4UX,"I had trouble getting the plots in the plots section after saving. For some reason, after I save file it would not show up on the plots section. But I figured out a way so it shows up on the R IDE. When I knit it, it comes out fine but I was wondering why the graphs and tables wouldn't initially show up on the plots section. Did someone else have this issue? I did a lot of research for this but I could only find a way to make it show on the R IDE."
U0887F6V4UX,"That's a very interesting question. Upon quick research, I found out the freestyle is generally the most efficient and fastest. Efficient in a way that it  goes the longest distance with the same energy output. I'm not sure about how the physiological factors influence this, but I'm guessing it is because it minimizes the water drag. The point where you ""break"" the water as one moves forward is minimized, allowing you to go forward with less effort."
U088FCLP61L,I wondered this too because I have swam for years. I think it depends on the stroke since some strokes take you out of the water more than others. Instead of measuring a stride like running/walking I think the “stride” would either be related to the number of cycles of your arms with one cycle in butterfly equaling two in freestyle. 
U0887F33HTR,"(Discussion) How do you deal with two overlapping points on a plot in R? This came up in AME1 on replicate 3. Without doing anything to alter the output, one data point will just cover up the other making it appear to not exist."
U0887F33HTR,"(Discussion) The different ways I found for solving this issue are using a jitter (but I do not like the way this looks for a scatter plot), or you can change the shape/size of the points. This can be done by using aes(size=group) or aes(shape=group). You can also pick the shapes and sizes using  scale_size_manual(values=c()) or scale_shape_manual(values=c()). You have to look up which values yield which shapes, but the process is actually not too difficult and makes overlapping points much more visible."
U088FCLP61L,One question I had after class was how a non bipedal animal’s stride differs compared to a bipedal such as a human. Obviously they have more feet touching the ground compared to a human but how would their stride be measured if they were walking or running if they were of an equal mass to an average human. Then to this too how would an uneven number of feet touching the ground when they are moving at faster speeds after the duty factor and the Freud number
U0887F68Q8P,"This is a very thoughtful question. I am not quite sure whether this is a good answer, but I think quadrupeds generally have smaller stride but higher stride frequency. However, the quadruped's duty factor could also depend on how many percent of their limbs are on the ground, if under 50%. it can be classified as walking, if more than 50%, it can be classified as running, in this way we may can regard the uneven number of limbs, or when we encounter the uneven number problem, we can create a new semi-structure model for that situation according to the acceleration and angle."
U0887F33HTR,"I agree with the idea of a bell curve of efficiency; if the achilles tendon were too short or too long there could be some disadvantages. First, if it was too short, there would be little capacity to actually store elastic potential energy (which would be inefficient), and running would primarily rely on muscular power from the calf muscles. However, if the tendon were too long, I think it would start to lose stiffness. It would essentially become looser and more compliant, unable to fully stretch and store energy. I think we are primarily already maximizing our energy transfer dynamics, as they have been fine-tuned by evolution (just making the tendon longer would not really help us). I think factors that probably have more impact are the length of our legs and muscle strength (including muscle fiber type and oxygen efficiency) allowing us to add more energy into the system and yield greater stride lengths."
U089ARFS08G,"In class today, we discussed how non-shod running allows for the least amount of energy to be used and shod running would use more energy. In addition, there is a lower duty factor for non-shod running since the tendons can elongate, therefore, releasing energy "
U088N1D569Y,"That’s an interesting point, there was a study I looked at by García-Arrabé, et. al., 2024 that says that foot muscle thickness and ankle flexion/range of motion is decreased in shod runners (article link: "
U0890MX5R33,You can edit the size I directly
U0890MX5R33,"So it would be ....+geom_smooth(method = ""lm"" , size = 5) for example"
U088FCLC7PG,"This is a really interesting question, one that I too had after Tuesday’s lecture. I would assume that quadrupeds would have a significantly different stride than bipedal animals, with unique stride lengths, and frequencies. When an uneven amount of feet are touching the ground, it can be assumed that the animal is moving faster, perhaps galloping. The duty factor would decrease with speed, as a lesser portion of the stride would be spent in contact with the ground. The Froude number would also likely increase, as more force is being generated than the theoretical amount. I am not quite sure if my answer is correct but I hope it at least gives you something to work upon. Great question!"
U0887F6V4UX,"During the revision, I realized that I did not use proper heading for objectives and interpretations section. I revised this by adding the appropriate title for each section, and starting a new chunk so it can come up in a nice box when knit. I had trouble finding out why it the interpretations section was in a gray box, but it was because I did not start a new chunk using ` ` `."
